Command,ProgramName,ExecutablePath
math,smath.exe,"""C:\Program Files (x86)\OpenOffice 4\program\smath.exe"""
writer,swriter.exe,"""C:\Program Files (x86)\OpenOffice 4\program\swriter.exe"""
web,sweb.exe,"""C:\Program Files (x86)\OpenOffice 4\program\sweb.exe"""
sage 2021,Sage50Accounting.exe,"""C:\Program Files (x86)\sage 50 permium accounting version 2021\Sage50Accounting.exe"""
sage 2020,Sage50Accounting.exe,"""C:\Program Files (x86)\sage 50 permium accounting version 2020\Sage50Accounting.exe"""
quick books 2020,qbw32.exe,"""C:\Program Files (x86)\Intuit\QuickBooks 2020\qbw32.exe"""
quick books 2021,qbw32.exe,"""C:\Program Files (x86)\Intuit\QuickBooks 2021\qbw32.exe"""
zoom,zoom.exe,"""C:\Program Files (x86)\Zoom\bin\Zoom.exe"""
sketchup 2016,Sketchup.exe,"""C:\Program Files\Sketchup\Sketchup 2016\Sketchup.exe"""
sketchup 2017,Sketchup.exe,"""C:\Program Files\Sketchup\Sketchup 2017\Sketchup.exe"""
sketchup 2018,Sketchup.exe,"""C:\Program Files\Sketchup\Sketchup 2018\Sketchup.exe"""
sketchup 2019,Sketchup.exe,"""C:\Program Files\Sketchup\Sketchup 2019\Sketchup.exe"""
sketchup 2020,Sketchup.exe,"""C:\Program Files\Sketchup\Sketchup 2020\Sketchup.exe"""
sketchup 2021,Sketchup.exe,"""C:\Program Files\Sketchup\Sketchup 2021\Sketchup.exe"""
